SeqID,observed,mean.simulated,lowCI,uppCI,Sign
4c6437b24798217c3997db23b97b47b362fc61f8,20.741784037558688,16.160563268959464,11.12846347607053,21.342995169082126,None
21c45e8b23b61b1dd4f207f2245d3b882d77f6a4,5.521126760563381,10.834219154055871,6.87719298245614,15.076923076923078,Specialist
738ffbb1871b17ca33dd226729a9e94c8e0fd3e0,20.489880025643377,23.521035416678895,17.420035585410695,29.410937294597083,None
950effc6c8e0097fc1ca49921308c56f0b547f96,9.191176470588236,13.348414206860774,8.80281690140845,17.8700828157348,None
44b6918185cc1f2a089f08685aecd07e637c07d5,1,1,1,1,None
8e1bf1f3d7a114e9c88093035064f409a8009637,2.272727272727273,4.134645659168699,2.272727272727273,4.999999999999999,None
4f5cdbd77c7f6e0679b29895866550c4ac9440c1,1.6,3.482094876154282,2,4,Specialist
89efc0140162ab5e47037a4085cced24b2b45e22,5.66605115950687,21.758680334007924,15.867528517110264,27.578376949510968,Specialist
826703172a46da43f0f7c0719cbdea4b25f7f8ad,10.56838602121668,28.690739419039776,22.268985398149194,34.87964407651367,Specialist
f4c7ba8740314faddf8fff6828ee11cd075de29d,4.5,4.712229025100312,2.571428571428571,6,None
936815d92696d6dfdd47e5499799a04962aba4e2,8.421052631578947,12.387046721645138,8.08080808080808,17.021276595744677,None
a0be96bb482be90137eb81f77d50e0c4712aee63,14.04596453130655,19.496714780154885,13.865309038942478,25.05422853453841,None
a06176c83322f229147d3c684fa03ccb0186f785,27.307019494101752,41.306886497431435,35.89621516225575,45.57851928181067,Specialist
76ddd62f04d813c3fb425a56a4c151e31965268a,11.454545454545455,12.650617449761798,8.320754716981133,16.961538461538463,None
b22525ae411b181d8c3bfd19255f035bcd8959b9,16.90805902383655,31.373485352372114,24.78530374681068,37.35399733137079,Specialist
2b11fc887551f149b0484e9412af0254dc4bbb80,8.35787488471861,38.96476514439246,33.206757383238454,43.95843961232088,Specialist
a61858ab8b49c95e89cc030d676067df1f3c4dbd,7.431838170624449,20.723493321387842,14.92175035331768,26.46828504306969,Specialist
b50fb0cc3eb9c97944946d7167a4c1491891fa1f,22.450518753207344,31.672565666517496,25.093552506987407,37.74318082456381,Specialist
ce0118a4364b3f0e7efabff0bec2c481a23c15a9,17.702428416092786,19.975850269241146,14.26014598540146,25.855479089465323,None
cb102aa16ec071ede2910bb03230645efe8ecd8e,18.886126250261434,28.439882253663825,22.000922970437106,34.46078178609481,Specialist
740d7d328d11d968dd8a258bb685fd838d1bcd82,20.110954735438916,32.76636479268656,26.39710636485668,38.70321926671417,Specialist
3549c93e47298d3a78e0fc5c0ca4ec4b25c6c937,3.3841226264012807,18.85026020944457,13.289610140319805,24.40924092409241,Specialist
ec0d58c6a0b85d172f76cd66d232e0c84b9d360f,16.225352112676056,13.191026506547528,8.661654135338345,18,None
3c5a2ea8d1d825678cb8ddab344faa1591e829d8,4.485333333333333,14.03941480256508,9.396648044692737,18.898876404494384,Specialist
01691b09c42f3b968e54fdf0b842b15a309869a0,25.08661926308985,19.471701731581664,13.88515205724508,25.11909385113269,None
e6c6ca503d685296b30bc8f042b3e239ba8d966a,24.65734707910692,38.416980468924464,32.366287475437794,43.560164213850854,Specialist
193c6177ac8e7df91bb93f71f90ab2c0a24e069f,1,2.7516551655165515,1.7999999999999998,3,Specialist
dc7ce90d27319fb811acea247c6b9bd70af3674c,1,1,1,1,None
84e98dda57f1a66329a142b24e03b5598ece41fa,3.571428571428571,4.123808397241622,2.272727272727273,4.999999999999999,None
2d66ae7a163df97ce53b96abbea19d49d84436cd,2.6666666666666665,3.483154982164883,1.6,4,None
3519933bcedf48f9273463f20cb107e142cd7612,1,4.1201348233522035,2.272727272727273,4.999999999999999,Specialist
df4f99167541a01adcdac4109c9595e0c921403b,1,3.488968896889689,2,4,Specialist
6eeb96c03d31d633ef3121cad70e4377c0da6075,1,1,1,1,None
eeca154f6b97b38ea8de59a07a1216b9bd632a66,1,1,1,1,None
b8d240f1e80049bc8e0c444712c2c3a15aa3248f,1,1,1,1,None
ae58eca61b4be54c902c3caa64158a195081b1a0,2,1.929092909290929,1,2,None
1e4fb6a3a450204542db9d24e1c7620b55fd192e,3.657142857142857,8.422049968696385,5.12,11.636363636363637,Specialist
a5611eb7441dfd493b123b45763fd9c1a5fe8c22,2.380281690140845,7.5792337658208355,4.5675675675675675,11.266666666666666,Specialist
191529aa97b62c3e4133514d39ecdf69a7239ed1,1.7999999999999998,2.7510951095109513,1.7999999999999998,3,None
18262e29868a2229460c1d077f4181c808ae9af9,1,1,1,1,None
01468ee0d4b93e528a7ed064b209f7bd13ace527,4,5.7035222709516455,3.2,8,None
1c744182db8a34e41c235e4292afcf20687b43dc,3.571428571428571,4.129065535623838,2.272727272727273,4.999999999999999,None
4b165eeba3034eee4fd3e68e7fc7ac718a81a2d8,1.6,3.492095876254292,2,4,Specialist
861c939bc9220c55c8f12d9f599c3ac4019d4894,6.155260611088068,19.795160587365572,14.155670997639259,25.513467048710602,Specialist
d457a54d36e2acd5cea682a47c5a3ac00fc3b836,2.8058252427184467,8.667115671640381,5.254545454545454,12.565217391304348,Specialist
65e972450d121f3f36e9e15ac7df392d0684296a,22.177101403564105,25.792821152702608,19.62248091404308,31.909643255519317,None
7dc9aae7d380f94389f447c70afd761204c74e4a,5.12121212121212,7.577613660054989,4.567567567567567,11.266666666666666,None
1545646f95d6be7d788d207401fc548f949945bc,1.0156240463838877,17.58766738456955,12.20909757887014,22.95310344827586,Specialist
b39e91400b31bda5e0b2b51472012530503b0f22,1,1,1,1,None
3e869a2e1a45385e9605a720ccefbb6a57299c9a,5.444444444444445,5.2245745676759565,3.266666666666667,7,None
2d60dc5cb6cde8524d47279f5f936a1ae0d997c0,18.348769314387763,27.67824064996463,21.457168336849644,33.69961115268595,Specialist
0c4547827ddd2186efe05293d7f1efd38b918126,2,5.6762577363648,3.2,8,Specialist
00374176c1835430610cee861bcd5e41a69a1db6,9.257142857142858,11.927574024564585,7.623529411764706,16.2,None
90977a61fedd951c6ab7ae099145f592a7aea3d1,1,1,1,1,None
459c683f2005d761da5219a390262c1e155a66cc,25.68312757201646,15.365042287984549,10.315702479338842,20.597359735973598,Generalist
e7cf1948f244fbad3544cb74f7e63208b86aa9f6,20.446808510638302,14.281881524221962,9.562189054726367,19.22,Generalist
0f83224d9a817a0f5a04b25896f473b43fc4c5ad,16.177900552486186,17.279280080378268,11.932355338223308,22.629057187017,None
b3d50d83c162f8d6fc9fc70db1b477d7a1f6b3dc,2.7777777777777772,4.126660607008641,2.272727272727273,4.999999999999999,None
0d701db4f7757e216e636f0397047d067d20432d,10.703703703703704,8.671616908723978,5.254545454545455,12.565217391304348,None
244409279a2439202f535d2c71ee72e4986b4b0f,13.054612546125464,17.703647334770885,12.309672929714685,22.94293125810636,None
429181de858de04c68e5e2fe2d441b8b136adcdc,7,5.212867528565641,3.266666666666667,7,None
225496a98fe781bfdcbcdf8f70df431794fd203b,2,1.928992899289929,1,2,None
113b3be28745709f5bc3c878d68f93d02b79d987,1,1.9276927692769277,1,2,None
2e8f3ecff378104fa717b502185f0b8a31207a82,1,1,1,1,None
0fa3e3426b7fcb52e59b8c9d0353bdecc782bd2e,1,1,1,1,None
9ed121389b44c1a37b1f774408e36296462da0ee,13.413407821229052,13.279700857883286,8.667870036101084,17.78518518518519,None
a5ffc938850f57c85e9c3cc653805aaa7671826e,1,1,1,1,None
e51ffa8e131013cec30781790e8500e47cbbc6e8,1,1,1,1,None
de1f5f353025ef607f8ed592b96ca3c3f4efe846,20.317528844969516,36.19728835658951,30.020564023272684,41.85026810980261,Specialist
fceb6f25c7120da9ad912b6ff5078b4f5197115c,22.911485825217795,30.06107896374429,23.585789894280616,36.289364541480694,Specialist
7ec6b8f19ef7fa138bf88bb22d2beea360f5a347,2.2959789750328516,22.956679849281905,17.049404310656687,28.966180371352785,Specialist
f8d91fb6807163ceea6a306f0451b373ac2246d9,3.221025295758392,19.139517444063046,13.60788297440065,24.57006603081438,Specialist
9139747fd26140ba8196739eedf6a0c2e9671586,3.919589731965773,20.794047156492834,14.981048843700693,26.49239799656463,Specialist
27056c99f297def8a0fb528bb7b175ee06b7b0af,15,12.893628591165607,8.472803347280335,17.30769230769231,None
d36d87abfa363a36bac82e779909e0bbc83e3651,1,1,1,1,None
7d67d79c7f31f12e4c41f67cf79c9c972052f28c,4.909090909090908,8.933179419358764,5.4,12.461538461538462,Specialist
192b1f213e11700f608064b9d3aa374ac8ca0144,8.022222222222224,9.111725750657525,5.5538461538461545,12.448275862068968,None
